Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Federation,Date,MeetCountry,MeetName
Crystal Tate,F,SBD,Multi-ply,32,24-34,Open,93.71,90,-340.19,369.68,0,369.68,-102.06,-208.65,210.92,210.92,238.14,272.16,-288.03,272.16,852.75,1,725.31,725.31,627.86,885.85,No,APF,4/13/2019,USA,Women's Pro-Am
Evgeniya Goncharova,F,SBD,Single-ply,24.5,24-34,Open,67.05,67.5,-230,230,-240,230,130,137.5,142.5,142.5,215,225,230,230,602.5,2,617.89,617.89,545.13,748.75,Yes,FPR,9/19/2006,Russia,Russian Powerlifting Cup
Kateryna Klymenko,F,SBD,Single-ply,29.5,24-34,Open,51.69,52,-182.5,-185,185,185,117.5,122.5,125,125,170,175,185,185,495,3,619.94,619.94,549.65,711.53,Yes,IPF,11/9/2015,Luxembourg,World Powerlifting Championships
MarÃ­a Luisa VÃ¡squez,F,SBD,Single-ply,33.5,24-34,Light,45.41,47,-175,177.5,182.5,182.5,-105,105,110,110,155,-160,160,160,452.5,4,623.59,623.59,557.52,703.05,Yes,IPF,7/24/2017,Poland,World Games
Rowena Lopez,F,SBD,Single-ply,39,35-39,Open,56.52,57,-175,175,185,185,125,132.5,137.5,137.5,182.5,192.5,197.5,197.5,520,5,607.42,607.42,537.19,711.61,Yes,IPF,11/14/2016,USA,World Open Championships
Widari Widari,F,SBD,Single-ply,26.5,24-34,Open,46.55,47,160,-170,-170,160,125,135,141,141,160,175,-197.5,175,476,2,644.61,644.61,575.06,724.98,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
Mary Ryan-Jeffrey,F,SBD,Single-ply,26.5,24-34,Open,52,52,165,177.5,185,185,102.5,107.5,-115,107.5,165,177.5,185,185,477.5,1,595.27,595.27,527.65,687.99,No,APF,11/21/1987,USA,World Championships
Carrie Boudreau,F,SBD,Single-ply,28,24-34,Open,54.9,56,170,182.5,187.5,187.5,100,107.5,110,110,205,220.5,-227.5,220.5,517.5,1,618.43,618.43,547.27,718.29,Yes,IPF,5/5/1995,Japan,Women's World Powerlifting Championships
Frankmary Duno,F,SBD,Single-ply,29.5,24-34,Light,46.14,47,170,-177.5,-177.5,170,110,-115,-115,110,155,160,162.5,162.5,442.5,6,603.03,603.03,538.36,684.03,Yes,IPF,7/24/2017,Poland,World Games
Yukako Fukushima,F,SBD,Single-ply,46.5,45-49,Open,46.3,47,175,182.5,188.5,188.5,125,134.5,-137.5,134.5,155,167.5,173,173,496,1,674.28,720.13,601.8,753.39,Yes,JPA,7/15/2017,Japan,Japanese Powerlifting Championships
Anastasiya Derevyanko,F,SBD,Single-ply,27.5,24-34,Open,51.03,52,175,-185,187.5,187.5,110,115,120,120,180,185,190,190,497.5,2,629.25,629.25,558.21,719.09,Yes,IPF,11/9/2015,Luxembourg,World Powerlifting Championships
Olena Dmytruk,F,SBD,Single-ply,20.5,20-23,Open,51.75,52,175,182.5,187.5,187.5,100,110,120,120,160,170,177.5,177.5,485,1,606.87,619.01,538.04,698.82,Yes,EPF,11/26/2004,Slovakia,Women's European Powerlifting Championships
Ã‰rica Batista Bueno,F,SBD,Single-ply,37.5,35-39,Open,56.4,57,175,185,-192.5,185,142.5,153,-155.5,153,170,-180,180,180,518,4,606.09,606.09,536.03,709.97,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
Victoria Vargas,F,SBD,Single-ply,22.5,20-23,Juniors,51.04,52,177.5,187.5,194,194,117.5,127.5,132.5,132.5,165,172.5,175,175,501.5,1,634.22,634.22,562.61,723.99,Yes,IPF,8/28/2017,USA,World Sub-Juniors & Juniors Powerlifting Championships
Maria Dominguez,F,SBD,Single-ply,21.5,20-23,Light,51.99,52,180,187.5,-192.5,187.5,-145,147.5,150,150,162.5,-170,-175,162.5,500,5,623.41,629.65,552.6,715.69,Yes,IPF,7/24/2017,Poland,World Games
Kimberly Johnson,F,SBD,Single-ply,24.5,24-34,F-O,56.55,57,180,192.5,-202.5,192.5,122.5,132.5,142.5,142.5,177.5,190,-197.5,190,525,2,613,613,542.12,717.29,Yes,USAPL,3/2/2019,USA,Arnold SBD Grand Prix
Vanessa Gibson,F,SBD,Multi-ply,27.5,24-34,O,56,56,185,202.5,210,210,102.5,110,-115,110,182.5,202.5,-210,202.5,522.5,1,614.78,614.78,543.79,717.59,No,WPC,11/7/1996,South Africa,Worlds
Ellie Steel,F,SBD,Single-ply,26.5,24-34,Open,56.93,57,185,200,207.5,207.5,125,135,141,141,162.5,170,175,175,523.5,1,608.05,608.05,537.67,713.34,Yes,EPF,9/14/2018,Norway,Western European Championships
Tetyana Shlopko,F,SBD,Single-ply,21.5,20-23,Open,51.7,52,185,-195,195,195,110,115,120,120,162.5,167.5,-170,167.5,482.5,3,604.19,610.24,535.68,696.06,Yes,IPF,11/5/2018,Sweden,48th World Open Championships
Tetyana Prymenchuk,F,SBD,Single-ply,37.5,35-39,Open,56,56,185,195,202.5,202.5,120,-125,-125,120,170,182.5,190,190,512.5,1,603.01,603.01,533.39,705.83,Yes,IPF,11/7/2010,South Africa,World Powerlifting Chmapionships
Mayumi Kitamura,F,SBD,Single-ply,46,45-49,Open,62.6,63,187.5,200,208,208,-150,158,160.5,160.5,185,195.5,201.5,201.5,570,1,615.12,656.95,543.2,735.37,Yes,JPA,5/31/2013,Japan,Japanese Powerlifting Championships
Cosette Neely,F,SBD,Multi-ply,41,40-44,Open,47.36,48,188.24,-201.85,-201.85,188.24,-140.61,-140.61,140.61,140.61,147.42,158.76,167.83,167.83,496.68,1,664.3,670.94,591.84,745.46,No,APF,4/13/2019,USA,Women's Pro-Am
Hui-Chun Wu,F,SBD,Single-ply,30.5,24-34,Middle,58.94,63,190,200,205,205,130,140,145,145,195,200,202.5,202.5,552.5,3,624.56,624.56,551.97,735.38,Yes,IPF,7/24/2017,Poland,World Games
Egdimar Ruiz,F,SBD,Single-ply,24.5,24-34,Open,54.58,57,190,-200,-205,190,107.5,-115,115,115,195,205,-212.5,205,510,7,612.27,612.27,541.89,711.31,Yes,IPF,11/14/2016,USA,World Open Championships
Karen Hesthammer,F,SBD,Single-ply,23.5,24-34,Open,55.62,57,192.5,200.5,208,208,115,120,-125,120,170,180,184,184,512,2,605.65,605.65,535.8,707.46,Yes,EPF,9/14/2018,Norway,Western European Championships
Amy Kozle,F,SBD,Multi-ply,45,45-49,F_MEM_2_APF,58.7,60,192.5,205,215,215,102.5,115,,115,202.5,-212.5,-212.5,202.5,532.5,1,603.87,637.09,533.71,713.83,No,APF,3/10/2018,USA,Michigan State Meet
Wei-Ling Chen,F,SBD,Single-ply,34,24-34,Open,46.75,47,195,202.5,210,210,90,100,105,105,175,185,-195,185,500,1,675.03,675.03,602,754.83,Yes,IPF,11/14/2016,USA,World Open Championships
Larysa Vitsyevska,F,SBD,Single-ply,25.5,24-34,Open,59.7,60,195,205,212.5,212.5,130,137.5,142.5,142.5,210,220,227.5,227.5,582.5,1,651.95,651.95,576.07,765.19,Yes,EPF,11/26/2004,Slovakia,Women's European Powerlifting Championships
Valentina Nelyubova,F,SBD,Single-ply,38.5,35-39,Open,59.75,60,195,205,210,210,132.5,145,152.5,152.5,182.5,195,202.5,202.5,565,1,631.95,631.95,558.39,745.06,Yes,EPF,11/24/2005,Hungary,Women's European Powerlifting Championships
